,G_symbol,head1,head2,head3,head4,head5,head6,head7,head8,abs_mean
14,UQCRC1,0.00028881109050399447,-0.001882468227795258,0.0003828421485898731,-0.002308503138363355,0.0008533269818657083,-0.0004248579958325524,-0.00030865329955826414,-0.0022890016484417293,0.0010923080663688418
15,CD9,0.00041038890552167693,-0.004799707896174057,-0.0001560215727573937,-0.008294329486585933,-0.0007321409588685735,-0.0006318884699070463,-0.0016233584918175297,0.002058558998217333,0.002338299347481193
16,RNF216,-0.0014621940599239226,-0.006302765057168599,-0.0014636116249207615,0.0006410183274329525,0.000497596170522547,0.0004089310864982503,-0.0008410680176340058,0.010571525132833794,0.002773588684616854
17,PLAUR,0.008092767509591007,0.011559853928348261,-0.0004416773253732719,-0.0033278992070420697,0.0005895789821120028,-0.001982737501643103,0.00013315625157395036,-0.005267995376026454,0.003924458260213765
18,ANLN,0.0001474638344628654,-0.00015285825802927733,-0.0010624223173919286,-0.007617101884197797,-0.0004558516306894606,0.002021070566799342,8.256728820857982e-05,-0.002965659996018476,0.0018131244719747158
19,BRCA1,0.001380810869140398,-0.0036198834598998287,-0.0009641981871548055,-0.0015056930549136726,-0.0002698888580555593,-0.002655548097400645,-0.00027375960127608946,0.002661084075704152,0.0016663582754431437
20,ERCC1,-0.0017236192907768406,0.0021937494490146354,0.00029110794683715195,0.006863858075160298,-0.0030371955838163715,-0.0019591421047694835,-0.00016741865384179173,0.007163014501744316,0.002924888200745111
21,MVP,-0.00033043779986133927,-0.003650103947210427,-0.0002851436533920915,-0.0181366334283121,0.0009821191573414084,0.002244944090000565,-0.0016277751165438578,0.0034990733616370407,0.003844528819287354
22,UFL1,0.0017791858925331405,-0.0024762102095828107,-0.000994841903561453,0.00033363741432911086,0.00023829922570963705,-0.008053425792408737,0.0006339516993150301,0.005505905465044097,0.0025019322003105022
23,BID,-0.00027297507454529437,0.00604474469706054,0.00011043078821328998,0.015655069205081824,7.516934362404544e-05,0.0019143172806094769,0.002332013202848186,0.002515320639973938,0.0036150050289945742
24,IGF1,-0.00013530529228718104,-0.0009668381475375869,-0.00041211469037985684,0.007408160570522893,-0.00012080474041545223,-0.000912022524403343,0.0005135185439847374,0.0015514514562294335,0.0015025269957200608
25,HGF,0.0009630479079174917,-0.0009937526431205062,-0.0003169741501475436,0.001012488805695766,-0.00017030723733806396,-0.0011863098292503795,-0.0015331259897919968,0.004536951464320992,0.0013391197534478425
26,ZRANB1,-0.0002394277831385109,-0.001524042280190926,-0.0006647536425909395,-0.0005811084074158243,-0.00031425661930408925,0.0009411402698119352,0.0004423698957284318,-0.0039023028284308836,0.0010761752158264426
27,RUNX3,0.00011467680500841118,-0.0012277316351419246,0.0008344518655987137,-0.0004693186683153199,0.000809076635872873,-0.003798778414907215,-0.00010708411340907642,-0.0012662932698502061,0.0010784264260129675
28,BIRC3,0.00013586628031784077,0.0035617199419300323,-0.00040588188119290914,-0.00034171992084093154,0.0003606572317869397,0.00020838760021350009,-0.0002031525160616982,-0.001812357002464747,0.0008787177968510749
29,NR1H3,0.0011712860787723585,-0.015307615781406608,0.0010444583196251792,-0.026708066373755942,-0.00020815806787643536,-0.006433228115226672,-0.0004677843931465809,0.01188820571641893,0.007903600355778589
30,TYMP,0.000659180101552606,0.001346674587027246,-0.0012817920267198454,-0.0017337437686388468,-0.00039659252058704285,0.0026365911770154502,0.00038152566422413546,-0.0010722166914083364,0.0011885395671466887
31,VIM,0.0011292492435134157,0.0027442559762949335,0.00032788050251393835,-0.0036968465052198206,0.0002682703468606412,-0.002474126446110217,-0.0011867655572256105,-0.0003167334185176177,0.0015180159995320244
32,FAS,0.0002247971205153324,-0.007198574223942724,0.0013519351772454957,-0.007404827093682707,0.00034890104968335204,-0.00912487500628554,-0.0004037865489090212,0.0034449781579325733,0.003687834297274593
33,CD44,-0.0010712109992883675,-0.006190214100955073,-0.0010299305023657888,0.006235455341011939,0.0002092173504374592,0.0012146200374840172,-8.618123262467954e-05,0.0063135235239413605,0.0027937941360135854
34,TNFRSF1B,0.0011315175385064415,0.006201576232516818,-0.0015978300496665345,0.008145642084615587,0.001705311731861833,-0.0010004291239864996,0.0007191578677851729,-0.0026217769206331263,0.0028904051936965015
35,BAK1,-0.0004849556441693476,-0.006771436155724002,0.0014151478014587126,-0.014435703833365544,-0.0018328794031598039,0.002360753082680372,4.709161394288071e-06,-0.0015557582005956358,0.0036076679103184636
36,FUT8,-0.0076110156898628245,-0.012881861552956403,0.0001303120542793748,-0.001431130926616244,-0.0007441506496915978,-0.0002754323675326638,-0.0016872160943933415,0.011761702771281957,0.004565352763326801
